family,count,ids,names,sources
squat,7,squat-band|squat-barbell|squat-bodyweight|squat-dumbbell|squat-machine|squat-smith-machine|squat-suspension,Squat (Band)|Squat (Barbell)|Squat (Bodyweight)|Squat (Dumbbell)|Squat (Machine)|Squat (Smith Machine)|Squat (Suspension),catalog-json
bicep-curl,6,bicep-curl|bicep-curl-barbell|bicep-curl-cable|bicep-curl-dumbbell|bicep-curl-machine|bicep-curl-suspension,Bicep Curl|Bicep Curl (Barbell)|Bicep Curl (Cable)|Bicep Curl (Dumbbell)|Bicep Curl (Machine)|Bicep Curl (Suspension),catalog-json
deadlift,5,deadlift-band|deadlift-barbell|deadlift-dumbbell|deadlift-smith-machine|deadlift-trap-bar,Deadlift (Band)|Deadlift (Barbell)|Deadlift (Dumbbell)|Deadlift (Smith Machine)|Deadlift (Trap bar),catalog-json
front-raise,5,front-raise-band|front-raise-barbell|front-raise-cable|front-raise-dumbbell|front-raise-suspension,Front Raise (Band)|Front Raise (Barbell)|Front Raise (Cable)|Front Raise (Dumbbell)|Front Raise (Suspension),catalog-json
shrug,5,shrug-barbell|shrug-cable|shrug-dumbbell|shrug-machine|shrug-smith-machine,Shrug (Barbell)|Shrug (Cable)|Shrug (Dumbbell)|Shrug (Machine)|Shrug (Smith Machine),catalog-json
standing-calf-raise,5,standing-calf-raise|standing-calf-raise-barbell|standing-calf-raise-dumbbell|standing-calf-raise-machine|standing-calf-raise-smith,Standing Calf Raise|Standing Calf Raise (Barbell)|Standing Calf Raise (Dumbbell)|Standing Calf Raise (Machine)|Standing Calf Raise (Smith),catalog-json
triceps-extension,5,triceps-extension-barbell|triceps-extension-cable|triceps-extension-dumbbell|triceps-extension-machine|triceps-extension-suspension,Triceps Extension (Barbell)|Triceps Extension (Cable)|Triceps Extension (Dumbbell)|Triceps Extension (Machine)|Triceps Extension (Suspension),catalog-json
bench-press,4,bench-press-barbell|bench-press-cable|bench-press-dumbbell|bench-press-smith-machine,Bench Press (Barbell)|Bench Press (Cable)|Bench Press (Dumbbell)|Bench Press (Smith Machine),catalog-json
chest-fly,4,chest-fly-band|chest-fly-dumbbell|chest-fly-machine|chest-fly-suspension,Chest Fly (Band)|Chest Fly (Dumbbell)|Chest Fly (Machine)|Chest Fly (Suspension),catalog-json
decline-bench-press,4,decline-bench-press-barbell|decline-bench-press-dumbbell|decline-bench-press-machine|decline-bench-press-smith-machine,Decline Bench Press (Barbell)|Decline Bench Press (Dumbbell)|Decline Bench Press (Machine)|Decline Bench Press (Smith Machine),catalog-json
hip-thrust,4,hip-thrust|hip-thrust-barbell|hip-thrust-machine|hip-thrust-smith-machine,Hip Thrust|Hip Thrust (Barbell)|Hip Thrust (Machine)|Hip Thrust (Smith Machine),seed+catalog-json|catalog-json
lateral-raise,4,lateral-raise-band|lateral-raise-cable|lateral-raise-dumbbell|lateral-raise-machine,Lateral Raise (Band)|Lateral Raise (Cable)|Lateral Raise (Dumbbell)|Lateral Raise (Machine),catalog-json
pull-up,4,pull-up|pull-up-assisted|pull-up-band|pull-up-weighted,Pull Up|Pull Up (Assisted)|Pull Up (Band)|Pull Up (Weighted),seed+catalog-json|catalog-json
single-leg-standing-calf-raise,4,single-leg-standing-calf-raise|single-leg-standing-calf-raise-barbell|single-leg-standing-calf-raise-dumbbell|single-leg-standing-calf-raise-machine,Single Leg Standing Calf Raise|Single Leg Standing Calf Raise (Barbell)|Single Leg Standing Calf Raise (Dumbbell)|Single Leg Standing Calf Raise (Machine),catalog-json
sumo-squat,4,sumo-squat|sumo-squat-barbell|sumo-squat-dumbbell|sumo-squat-kettlebell,Sumo Squat|Sumo Squat (Barbell)|Sumo Squat (Dumbbell)|Sumo Squat (Kettlebell),catalog-json
back-extension,3,back-extension-hyperextension|back-extension-machine|back-extension-weighted-hyperextension,Back Extension (Hyperextension)|Back Extension (Machine)|Back Extension (Weighted Hyperextension),catalog-json
