exercise_id,name,equipment,status,duplicate_count,proposed_video
bench-dip,Fondo en banco,bodyweight,ADD_VIDEO,,female-Bodyweight-bench-dips-side.mp4
meadows-rows-barbell,Remo Meadows (Barra),barbell,ADD_VIDEO,,female-barbell-meadows-row-side.mp4
nordic-hamstrings-curls,Curl nórdico de isquiotibiales,bodyweight,ADD_VIDEO,,female-Bodyweight-nordic-hamstring-curl-side.mp4
overhead-triceps-extension-cable,Extensión de tríceps sobre la cabeza (Polea),cable,ADD_VIDEO,,female-Cables-cable-overhead-tricep-extension-side.mp4
triceps-kickback-cable,Patada de tríceps (Polea),cable,ADD_VIDEO,,female-Cables-cable-tricep-kickback-side.mp4
triceps-kickback-dumbbell,Patada de tríceps (Mancuerna),dumbbell,ADD_VIDEO,,female-dumbbell-tricep-kickback-side.mp4
arnold-press-dumbbell,Press Arnold (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-arnold-press-side.mp4
back-extension-machine,Extensión de espalda (Máquina),machine,HAS_VIDEO,,female-Machine-machine-back-extension-side.mp4
barbell-curl,Curl con barra,barbell,HAS_VIDEO,,female-Barbell-barbell-curl-side.mp4
barbell-row,Remo con barra,barbell,HAS_VIDEO,,
belt-squat-machine,Sentadilla con cinturón (Máquina),machine,HAS_VIDEO,,female-Machine-machine-belt-squat-side.mp4
bench-press-barbell,Press de banca (Barra),barbell,HAS_VIDEO,,female-barbell-bench-press-side.mp4
bench-press-cable,Press de banca (Polea),cable,HAS_VIDEO,,female-Cables-cable-bench-press-side.mp4
bench-press-close-grip-barbell,Press de banca agarre cerrado (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-close-grip-bench-press-side.mp4
bench-press-dumbbell,Press de banca (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-bench-press-side_5wGWrBA.mp4
bent-over-row-band,Remo inclinado (Banda),band,HAS_VIDEO,,female-Band-band-bent-over-row-side.mp4
bent-over-row-barbell,Remo inclinado (Barra),barbell,HAS_VIDEO,,female-barbell-bent-over-row-side.mp4
bicep-curl-machine,Curl de bíceps (Máquina),machine,HAS_VIDEO,,female-Machine-machine-bicep-curl-side.mp4
bicycle-crunch,Crunch bicicleta,bodyweight,HAS_VIDEO,,female-Bodyweight-bicycle-crunch-side.mp4
bird-dog,Bird dog (Perro de muestra),bodyweight,HAS_VIDEO,,female-Bodyweight-bird-dog-side.mp4
box-jump,Salto al cajón,bodyweight,HAS_VIDEO,,female-Bodyweight-box-jump-side.mp4
bulgarian-split-squat,Sentadilla búlgara,bodyweight,HAS_VIDEO,,female-Bodyweight-bulgarian-split-squat-side.mp4
burpee,Burpee,bodyweight,HAS_VIDEO,,female-bodyweight-burpee-side.mp4
cable-crunch,Crunch en polea,cable,HAS_VIDEO,,
cable-fly,Cruces en polea,cable,HAS_VIDEO,,
cable-pull-through,Pull through en polea,cable,HAS_VIDEO,,female-Cables-cable-pull-through-side.mp4
calf-raise,Elevación de pantorrillas,bodyweight,HAS_VIDEO,,female-Bodyweight-calf-raises-side.mp4
chest-fly-band,Apertura de pecho (Banda),band,HAS_VIDEO,,female-band-chest-fly-side.mp4
chest-fly-dumbbell,Apertura de pecho (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-chest-fly-side.mp4
chest-fly-suspension,Apertura de pecho (TRX),suspension,HAS_VIDEO,,female-trx-chest-fly-side.mp4
chest-press-band,Press de pecho (Banda),band,HAS_VIDEO,,female-band-chest-press-side.mp4
chest-press-machine,Press de pecho (Máquina),machine,HAS_VIDEO,,female-Machine-machine-chest-press-side.mp4
chin-up-assisted,Dominada supina (Asistida),bodyweight,HAS_VIDEO,,female-Bodyweight-bodyweight-assisted-chin-up-side.mp4
clean,Cargada,bodyweight,HAS_VIDEO,,
clean-and-jerk,Cargada y envión,bodyweight,HAS_VIDEO,,
clean-and-press,Cargada y press,bodyweight,HAS_VIDEO,,
close-grip-bench-press,Press cerrado,bodyweight,HAS_VIDEO,,
concentration-curl,Curl concentrado,bodyweight,HAS_VIDEO,,female-Bodyweight-bodyweight-concentration-curl-side.mp4
crunch-machine,Crunch (Máquina),machine,HAS_VIDEO,,female-Machine-machine-crunch-side.mp4
dead-bug,Dead bug (Bicho muerto),bodyweight,HAS_VIDEO,,female-Bodyweight-dead-bug-side.mp4
dead-hang,Colgado pasivo,bodyweight,HAS_VIDEO,,female-Bodyweight-dead-hang-side.mp4
deadlift-barbell,Peso muerto (Barra),barbell,HAS_VIDEO,2,female-Barbell-barbell-deadlift-side.mp4
deadlift-trap-bar,Peso muerto (Barra hexagonal),barbell,HAS_VIDEO,2,female-Barbell-barbell-deadlift-side.mp4
decline-bench-press-dumbbell,Press de banca declinado (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-decline-bench-press-side.mp4
decline-chest-fly-dumbbell,Apertura declinada (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-decline-chest-fly-side.mp4
decline-push-up,Flexión declinada,bodyweight,HAS_VIDEO,,female-Bodyweight-decline-push-up-side.mp4
downward-dog,Perro boca abajo,bodyweight,HAS_VIDEO,,
drag-curl,Curl de arrastre,bodyweight,HAS_VIDEO,,
dumbbell-squeeze-press,Press de presión con mancuernas,dumbbell,HAS_VIDEO,,female-dumbbell-squeeze-press-side.mp4
dumbbell-step-up,Subida al cajón (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-step-up-side.mp4
face-pull,Jalón al rostro,bodyweight,HAS_VIDEO,,
floor-press-barbell,Press en el suelo (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-floor-press-side.mp4
floor-press-dumbbell,Press en el suelo (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-floor-press-side.mp4
front-raise-band,Elevación frontal (Banda),band,HAS_VIDEO,,female-Band-band-front-raise-side.mp4
front-raise-barbell,Elevación frontal (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-front-raise-side.mp4
front-raise-dumbbell,Elevación frontal (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-front-raise-side.mp4
front-squat,Sentadilla frontal,bodyweight,HAS_VIDEO,,
