exercise_id,exercise_name,source,confidence,score,recommended_video,drive_file_id,drive_url,folder,matched_variants,reason
bench-press,Press de banca,seed,high,1.000,female-barbell-bench-press-side.mp4,1Yi5evT9KOOWD-_FzFGn-qvHx7nlTIfpT,https://drive.google.com/file/d/1Yi5evT9KOOWD-_FzFGn-qvHx7nlTIfpT/view?usp=drive_web,Barbell,39,video_clean:id
bicep-curl,Curl de bíceps,catalog-json,high,1.000,female-Machine-machine-bicep-curl-side.mp4,1Zzs3NPCrr-PH-se545b8trjNOmz9xjPu,https://drive.google.com/file/d/1Zzs3NPCrr-PH-se545b8trjNOmz9xjPu/view?usp=drive_web,Machine,8,video_clean:id
bicycle-crunch,Crunch bicicleta,catalog-json,high,1.000,female-Bodyweight-bicycle-crunch-side.mp4,1kHMcdMVWTHa-XU2pcr65ZnUGaEVrVeXu,https://drive.google.com/file/d/1kHMcdMVWTHa-XU2pcr65ZnUGaEVrVeXu/view?usp=drive_web,Bodyweight,4,video_clean:id
bird-dog,Bird dog (Perro de muestra),catalog-json,high,1.000,female-Bodyweight-bird-dog-side.mp4,1YwObkh8dGbyvdVOtVbd3lkx8tfpdVnnF,https://drive.google.com/file/d/1YwObkh8dGbyvdVOtVbd3lkx8tfpdVnnF/view?usp=drive_web,Bodyweight,4,video_clean:id
box-jump,Salto al cajón,catalog-json,high,1.000,female-Bodyweight-box-jump-side.mp4,1C0vzcWhqZRUQejr7hzdU9Wh4X_-D1xaN,https://drive.google.com/file/d/1C0vzcWhqZRUQejr7hzdU9Wh4X_-D1xaN/view?usp=drive_web,Bodyweight,8,video_clean:id
bulgarian-split-squat,Sentadilla búlgara,catalog-json,high,1.000,female-Barbell-barbell-bulgarian-split-squat-side.mp4,1Tu7fvhSUd0qF86TFfoyxk1QKLW9GvTBK,https://drive.google.com/file/d/1Tu7fvhSUd0qF86TFfoyxk1QKLW9GvTBK/view?usp=drive_web,Barbell,28,video_clean:id
burpee,Burpee,catalog-json,high,1.000,female-bodyweight-burpee-side.mp4,1mAKBVRdaWdRwZ-mGgX6ARnyUb3RUrNqA,https://drive.google.com/file/d/1mAKBVRdaWdRwZ-mGgX6ARnyUb3RUrNqA/view?usp=drive_web,Bodyweight,8,video_clean:id
clean,Cargada,catalog-json,high,1.000,female-plate-clean-side.mp4,1mnJ0a3EWaDnVe2aKGv-Heo3LAj400QIN,https://drive.google.com/file/d/1mnJ0a3EWaDnVe2aKGv-Heo3LAj400QIN/view?usp=drive_web,Plate,4,video_clean:id
clean-and-jerk,Cargada y envión,catalog-json,high,1.000,female-Barbell-barbell-clean-and-jerk-side.mp4,1P-cZ-baArvb_bql2uOhdXJqLcMJKdbNn,https://drive.google.com/file/d/1P-cZ-baArvb_bql2uOhdXJqLcMJKdbNn/view?usp=drive_web,Barbell,16,video_clean:id
clean-and-press,Cargada y press,catalog-json,high,1.000,female-Barbell-barbell-clean-and-press-side.mp4,1eAiwTHbS3QgzwZbPWc9Z9Cgwf6pBsspA,https://drive.google.com/file/d/1eAiwTHbS3QgzwZbPWc9Z9Cgwf6pBsspA/view?usp=drive_web,Barbell,40,video_clean:id
close-grip-bench-press,Press cerrado,seed,high,1.000,female-Barbell-barbell-close-grip-bench-press-side.mp4,1gvmlmayHR2GJcJvBOPTQL9bkptDAffvw,https://drive.google.com/file/d/1gvmlmayHR2GJcJvBOPTQL9bkptDAffvw/view?usp=drive_web,Barbell,16,video_clean:id
concentration-curl,Curl concentrado,catalog-json,high,1.000,female-Bodyweight-bodyweight-concentration-curl-side.mp4,1npajsceZ13ZfeZaOiUXYHlOkkBokU0S9,https://drive.google.com/file/d/1npajsceZ13ZfeZaOiUXYHlOkkBokU0S9/view?usp=drive_web,Bodyweight,12,video_clean:id
crunch,Crunch,catalog-json,high,1.000,female-Band-band-crunch-side.mp4,1tP96vMDsmEau_dcMHKLagMpsuvtWKapR,https://drive.google.com/file/d/1tP96vMDsmEau_dcMHKLagMpsuvtWKapR/view?usp=drive_web,Band,24,video_clean:id
dead-bug,Dead bug (Bicho muerto),catalog-json,high,1.000,female-Bodyweight-dead-bug-side.mp4,1pKw90P922y1TntDqK_eLX7COinuigmxJ,https://drive.google.com/file/d/1pKw90P922y1TntDqK_eLX7COinuigmxJ/view?usp=drive_web,Bodyweight,8,video_clean:id
dead-hang,Colgado pasivo,catalog-json,high,1.000,female-Bodyweight-dead-hang-side.mp4,1Y_V8f77XD7rpnuSaj9wX9_6aUrtr9td-,https://drive.google.com/file/d/1Y_V8f77XD7rpnuSaj9wX9_6aUrtr9td-/view?usp=drive_web,Bodyweight,8,video_clean:id
deadlift,Peso muerto,seed,high,1.000,female-Barbell-barbell-deadlift-side.mp4,1wjP_L2o6QniBi0Jjz7pwkjdxAvk0fUEP,https://drive.google.com/file/d/1wjP_L2o6QniBi0Jjz7pwkjdxAvk0fUEP/view?usp=drive_web,Barbell,37,video_clean:id
decline-push-up,Flexión declinada,catalog-json,high,1.000,female-Bodyweight-decline-push-up-side.mp4,1pxTDvk_vLC6kiJZbOgNz1dKKI79_O46k,https://drive.google.com/file/d/1pxTDvk_vLC6kiJZbOgNz1dKKI79_O46k/view?usp=drive_web,Bodyweight,4,video_clean:id
downward-dog,Perro boca abajo,catalog-json,high,1.000,female-yoga-downward-dog-side.mp4,1kUSaDBG5Zq0FhVu0U80jXzAS0Zi3X-Sm,https://drive.google.com/file/d/1kUSaDBG5Zq0FhVu0U80jXzAS0Zi3X-Sm/view?usp=drive_web,Yoga,4,video_clean:id
drag-curl,Curl de arrastre,catalog-json,high,1.000,female-Barbell-barbell-drag-curl-side.mp4,1K24AUSrJUw8SP8yaQOe6sVdtI1BiaBYX,https://drive.google.com/file/d/1K24AUSrJUw8SP8yaQOe6sVdtI1BiaBYX/view?usp=drive_web,Barbell,12,video_clean:id
front-squat,Sentadilla frontal,catalog-json,high,1.000,female-Vitruvian-front-squat-side.mp4,1UhJm4ZJLd-0YJAkJwcDnm0pOwTC2uh_c,https://drive.google.com/file/d/1UhJm4ZJLd-0YJAkJwcDnm0pOwTC2uh_c/view?usp=drive_web,Vitruvian,8,video_clean:id
glute-bridge,Puente de glúteo,catalog-json,high,1.000,female-barbell-glute-bridge-side.mp4,16_beG7aJ0-IjAeB-5wbj3IylcJgLmLWj,https://drive.google.com/file/d/16_beG7aJ0-IjAeB-5wbj3IylcJgLmLWj/view?usp=drive_web,Barbell,24,video_clean:id
glute-ham-raise,Elevación de glúteo e isquiotibial (GHR),catalog-json,high,1.000,female-machine-glute-ham-raise-side.mp4,1ZfKsm-iQEOg0ehLwWlhZAELUi2b_ICGY,https://drive.google.com/file/d/1ZfKsm-iQEOg0ehLwWlhZAELUi2b_ICGY/view?usp=drive_web,Machine,4,video_clean:id
goblet-squat,Sentadilla goblet,catalog-json,high,1.000,female-Band-band-goblet-squat-side.mp4,157SnRtmHPmawI-dOMDbZaaTkjfZb6E-h,https://drive.google.com/file/d/157SnRtmHPmawI-dOMDbZaaTkjfZb6E-h/view?usp=drive_web,Band,16,video_clean:id
hack-squat,Sentadilla hack,catalog-json,high,1.000,female-Machine-machine-hack-squat-side.mp4,1EM9IVs1szDdPO2nbuPM_5E8fFdPeqWX_,https://drive.google.com/file/d/1EM9IVs1szDdPO2nbuPM_5E8fFdPeqWX_/view?usp=drive_web,Machine,4,video_clean:id
hammer-curl,Curl martillo,seed,high,1.000,female-Dumbbells-dumbbell-hammer-curl-side.mp4,1Yy3DvuH1ssXTyZTFmf_g74sBUiW85CEV,https://drive.google.com/file/d/1Yy3DvuH1ssXTyZTFmf_g74sBUiW85CEV/view?usp=drive_web,Dumbbells,24,video_clean:id
hip-thrust,Empuje de cadera,seed+catalog-json,high,1.000,female-Barbell-barbell-hip-thrust-side.mp4,13nOBp-fthudYfl-d30ycwxzhLYBHhRxE,https://drive.google.com/file/d/13nOBp-fthudYfl-d30ycwxzhLYBHhRxE/view?usp=drive_web,Barbell,28,video_clean:id
jump-rope,Saltar la cuerda,catalog-json,high,1.000,female-Cardio-jump-rope-side.mp4,1LM4OfghijyXIxaSuEVtKekcArcBcNrKG,https://drive.google.com/file/d/1LM4OfghijyXIxaSuEVtKekcArcBcNrKG/view?usp=drive_web,Cardio,4,video_clean:id
jump-squat,Sentadilla con salto,catalog-json,high,1.000,female-trx-jump-squat-side.mp4,1o00KYAYi2rQbYWz3ZU5cEpriZXllqrfX,https://drive.google.com/file/d/1o00KYAYi2rQbYWz3ZU5cEpriZXllqrfX/view?usp=drive_web,TRX,4,video_clean:id
landmine-row,Remo landmine,catalog-json,high,1.000,female-barbell-landmine-row-side.mp4,15WZJEzcenmjbpqZlbPsEWoe6WXmfxKzA,https://drive.google.com/file/d/15WZJEzcenmjbpqZlbPsEWoe6WXmfxKzA/view?usp=drive_web,Barbell,4,video_clean:id
lateral-lunge,Estocada lateral,catalog-json,high,1.000,female-barbell-lateral-lunge-side.mp4,1IyVqU2EST15iJRt_bR1OaJqZKHfYuDuD,https://drive.google.com/file/d/1IyVqU2EST15iJRt_bR1OaJqZKHfYuDuD/view?usp=drive_web,Barbell,28,video_clean:id
lateral-raise,Elevaciones laterales,seed,high,1.000,female-Dumbbells-dumbbell-lateral-raise-side.mp4,1tOEMYySRjF1yb03nVUdUO7jw7tjsvAta,https://drive.google.com/file/d/1tOEMYySRjF1yb03nVUdUO7jw7tjsvAta/view?usp=drive_web,Dumbbells,28,video_clean:id
