exercise_id,exercise_name,source,confidence,score,recommended_video,drive_file_id,drive_url,folder,matched_variants,reason
back-squat,Sentadilla,seed,low,0.780,female-Barbell-barbell-banded-back-squat-side.mp4,1zcIiSk3MDQbMAytRJAl9exlAzJO3nJeh,https://drive.google.com/file/d/1zcIiSk3MDQbMAytRJAl9exlAzJO3nJeh/view?usp=drive_web,Barbell,24,drop_modifiers:id
behind-the-back-bicep-wrist-curl-barbell,Curl de muñeca tras la espalda (Barra),catalog-json,low,0.486,female-barbell-behind-the-back-wrist-curl-side.mp4,1dMAgR7qXqH9vsKg_L89EdFQoBGVaX8Jo,https://drive.google.com/file/d/1dMAgR7qXqH9vsKg_L89EdFQoBGVaX8Jo/view?usp=drive_web,Barbell,4,token_similarity:id
bent-over-row-band,Remo inclinado (Banda),catalog-json,low,0.544,female-Band-mini-band-bent-over-row-side.mp4,1adE2wtFcaJYtX9UKowJFKh8wVdRM8n7F,https://drive.google.com/file/d/1adE2wtFcaJYtX9UKowJFKh8wVdRM8n7F/view?usp=drive_web,Band,8,token_similarity:id
bent-over-row-barbell,Remo inclinado (Barra),catalog-json,low,0.510,female-barbell-bent-over-row-side.mp4,1Ur9XJIyxkXl-ED6poWH3jjVQZdFvO-rQ,https://drive.google.com/file/d/1Ur9XJIyxkXl-ED6poWH3jjVQZdFvO-rQ/view?usp=drive_web,Barbell,4,token_similarity:id
box-squat-barbell,Sentadilla al cajón (Barra),catalog-json,low,0.484,female-barbell-pause-box-squat-side.mp4,1Cg0HvvTOtsQdQlvNxK5xMiW-KnXG5-z8,https://drive.google.com/file/d/1Cg0HvvTOtsQdQlvNxK5xMiW-KnXG5-z8/view?usp=drive_web,Barbell,16,drop_modifiers:alias
cable-pull-through,Pull through en polea,catalog-json,low,0.620,female-Cables-cable-pull-through-side.mp4,1Xku91yV1o3wyEQhxgTNv3ZdSNglLCXco,https://drive.google.com/file/d/1Xku91yV1o3wyEQhxgTNv3ZdSNglLCXco/view?usp=drive_web,Cables,4,video_clean:alias
calf-raise,Elevación de pantorrillas,seed,low,0.520,female-Band-band-calf-raise-side.mp4,1m8lX2g8d44V1zRer0HHf4jrb1kOnq4_3,https://drive.google.com/file/d/1m8lX2g8d44V1zRer0HHf4jrb1kOnq4_3/view?usp=drive_web,Band,26,video_clean:id
chin-up,Dominada supina,catalog-json,low,0.780,female-Bodyweight-bodyweight-assisted-chin-up-side.mp4,1mSFIFmlbvVfgt6V_INBW6Mu5wTingyPz,https://drive.google.com/file/d/1mSFIFmlbvVfgt6V_INBW6Mu5wTingyPz/view?usp=drive_web,Bodyweight,8,drop_modifiers:id
chin-up-assisted,Dominada supina (Asistida),catalog-json,low,0.510,female-Bodyweight-bodyweight-assisted-gironda-chin-up-side.mp4,1azX8o-3bLadFrXyCrFusjifx19POF7hV,https://drive.google.com/file/d/1azX8o-3bLadFrXyCrFusjifx19POF7hV/view?usp=drive_web,Bodyweight,8,token_similarity:id
deadlift-trap-bar,Peso muerto (Barra hexagonal),catalog-json,low,0.265,female-Barbell-trap-bar-deficit-deadlift-side.mp4,1PJjL_Daj8nZ06ct132V7d-iRM_fjYmbt,https://drive.google.com/file/d/1PJjL_Daj8nZ06ct132V7d-iRM_fjYmbt/view?usp=drive_web,Barbell,12,token_similarity:id
