sugerencia,grupo,exercise_id,nombre,equipo,nota
BORRAR,back,sternum-pull-up-gironda,"Dominada al esternón (Gironda)",,raro/redundante
BORRAR,back,scapular-pull-ups,"Dominadas escapulares",,raro/redundante
BORRAR,back,iso-lateral-high-row-machine,"Remo alto isolateral (Máquina)",,raro/redundante
BORRAR,back,vertical-traction-machine,"Tracción vertical (Máquina)",,raro/redundante
BORRAR,biceps,waiter-curl-dumbbell,"Curl camarero (Mancuerna)",,raro/redundante
BORRAR,biceps,reverse-grip-concentration-curl,"Curl concentrado agarre inverso",,raro/redundante
BORRAR,biceps,seated-palms-up-wrist-curl,"Curl de muñeca sentado con palmas arriba",,raro/redundante
BORRAR,biceps,cross-body-hammer-curl,"Curl martillo cruzado",,raro/redundante
BORRAR,biceps,pinwheel-curl-dumbbell,"Curl molinete (Mancuerna)",,raro/redundante
BORRAR,biceps,overhead-curl-cable,"Curl por encima de la cabeza (Polea)",,raro/redundante
BORRAR,biceps,behind-the-back-curl-cable,"Curl tras la espalda (Polea)",,raro/redundante
BORRAR,biceps,wrist-roller,"Enrollador de muñeca",,raro/redundante
BORRAR,chest,around-the-world,"Around the World (Círculos con mancuernas)",,raro/redundante
BORRAR,chest,low-cable-fly-crossovers,"Cruces bajos en polea",,raro/redundante
BORRAR,chest,plate-press,"Press con disco",,raro/redundante
BORRAR,chest,plate-squeeze-svend-press,"Press de disco (Svend Press)",,raro/redundante
BORRAR,core,elbow-to-knee,"Codo a rodilla",,raro/redundante
BORRAR,core,dragon-flag,"Dragon flag",,raro/redundante
BORRAR,core,dragonfly,"Dragonfly",,raro/redundante
BORRAR,core,leg-raise-parallel-bars,"Elevación de piernas en paralelas",,raro/redundante
BORRAR,core,knee-raise-parallel-bars,"Elevación de rodillas en paralelas",,raro/redundante
BORRAR,core,stretching,"Estiramientos",,raro/redundante
BORRAR,core,hollow-rock,"Hollow rock (Balanceo en hueco)",,raro/redundante
BORRAR,core,landmine-180,"Landmine 180",,raro/redundante
BORRAR,core,jack-knife-suspension,"Navaja (TRX)",,raro/redundante
BORRAR,core,toes-to-bar,"Pies a la barra",,raro/redundante
BORRAR,core,torso-rotation,"Rotación de torso",,raro/redundante
BORRAR,core,spiderman,"Spiderman",,raro/redundante
BORRAR,core,toe-touch,"Toque de puntas",,raro/redundante
