nombre_es,exercise_id,equipment
"Abdominal completo (Con peso)",sit-up-weighted,
"Abdominal completo (Sit up)",sit-up,
"Abdominal navaja",jackknife-sit-up,
"Aeróbic",aerobics,
"Almeja (Clamshell)",clamshell,
"Apertura de pecho (Máquina)",chest-fly-machine,
"Apertura inversa a un brazo (Polea)",reverse-fly-single-arm-cable,
"Apertura inversa con soporte de pecho (Mancuerna)",chest-supported-reverse-fly-dumbbell,
"Apertura inversa de deltoides posterior (Mancuerna)",rear-delt-reverse-fly-dumbbell,
"Apertura inversa de deltoides posterior (Máquina)",rear-delt-reverse-fly-machine,
"Apertura inversa de deltoides posterior (Polea)",rear-delt-reverse-fly-cable,
"Aperturas con banda",band-pullaparts,
"Aperturas de pecho sentado (Polea)",seated-chest-flys-cable,
"Around the World (Círculos con mancuernas)",around-the-world,
"Arranque colgante",hang-snatch,
"Arranque con mancuerna",dumbbell-snatch,
"Arranque con pesa rusa",kettlebell-snatch,
"Bicicleta de aire",air-bike,
"Boxeo",boxing,
"Buenos días (Barra)",good-morning-barbell,
"Burpee sobre la barra",burpee-over-the-bar,
"Calentamiento",warm-up,
"Caminar",walking,
"Caminata lateral con banda",lateral-band-walks,
"Cargada colgante",hang-clean,
"Cargada con pesa rusa",kettlebell-clean,
"Cargada de potencia",power-clean,
"Ciclismo",cycling,
"Cinta de correr",treadmill,
"Círculos con pesa rusa",kettlebell-around-the-world,
"Codo a rodilla",elbow-to-knee,
"Contractor de pecho (Pec Deck)",butterfly-pec-deck,
"Correr",running,
"Cruce en polea a un brazo",single-arm-cable-crossover,
"Cruces bajos en polea",low-cable-fly-crossovers,
"Crunch (Con peso)",crunch-weighted,
"Crunch bicicleta con piernas elevadas",bicycle-crunch-raised-legs,
"Crunch declinado (Con peso)",decline-crunch-weighted,
"Cuerdas de batalla",battle-ropes,
"Curl a un brazo (Polea)",single-arm-curl-cable,
"Curl araña (Barra)",spider-curl-barbell,
"Curl camarero (Mancuerna)",waiter-curl-dumbbell,
"Curl con cuerda en polea",rope-cable-curl,
"Curl con disco",plate-curl,
"Curl concentrado agarre inverso",reverse-grip-concentration-curl,
"Curl de bíceps (Barra Z)",ez-bar-biceps-curl,
"Curl de bíceps (Barra)",bicep-curl-barbell,
"Curl de bíceps (Mancuerna)",bicep-curl-dumbbell,
"Curl de bíceps (Polea)",bicep-curl-cable,
"Curl de bíceps (TRX)",bicep-curl-suspension,
"Curl de muñeca sentado con palmas arriba",seated-palms-up-wrist-curl,
"Curl de muñeca tras la espalda (Barra)",behind-the-back-bicep-wrist-curl-barbell,
"Curl femoral de pie",standing-leg-curls,
"Curl femoral tumbado (Máquina)",lying-leg-curl-machine,
"Curl inclinado sentado (Mancuerna)",seated-incline-curl-dumbbell,
"Curl martillo (Banda)",hammer-curl-band,
"Curl martillo cruzado",cross-body-hammer-curl,
"Curl molinete (Mancuerna)",pinwheel-curl-dumbbell,
"Curl por encima de la cabeza (Polea)",overhead-curl-cable,
"Curl predicador (Barra)",preacher-curl-barbell,
"Curl predicador (Máquina)",preacher-curl-machine,
"Curl tras la espalda (Polea)",behind-the-back-curl-cable,
"Dominada (Banda)",pull-up-band,
"Dominada (Con peso)",pull-up-weighted,
"Dominada abierta",wide-pull-up,
"Dominada al esternón (Gironda)",sternum-pull-up-gironda,
"Dominada kipping",kipping-pull-up,
"Dominada negativa",negative-pull-up,
