pullup-pesocorporal | Dominada | back | peso_corporal | compound
assisted-pullup-multipower | Dominada asistida | back | multipower | compound
assisted-pull-up-maquina | Dominada asistida (Máquina) | back | maquina | compound
assisted-pull-up-pesocorporal | Dominada asistida (Peso corporal) | back | peso_corporal | compound
weighted-pull-ups-disco | Dominada con peso (Disco) | back | disco | compound
weighted-pull-ups-mancuerna | Dominada con peso (Mancuerna) | back | mancuerna | compound
ring-pull-up-pesocorporal | Dominada en anillas | back | peso_corporal | compound
gironda-chin-up-pesocorporal | Dominada Gironda | back | peso_corporal | compound
chinup-pesocorporal | Dominada supina | back | peso_corporal | compound
assisted-chin-up-maquina | Dominada supina asistida (Máquina) | back | maquina | compound
assisted-chin-up-pesocorporal | Dominada supina asistida (Peso corporal) | back | peso_corporal | compound
weighted-chin-ups-disco | Dominada supina con peso (Disco) | back | disco | compound
weighted-chin-ups-mancuerna | Dominada supina con peso (Mancuerna) | back | mancuerna | compound
ring-chin-up-pesocorporal | Dominada supina en anillas | back | peso_corporal | compound
ez-bar-shrug-barra | Encogimiento con barra EZ | back | barra | isolation
shrug-banda | Encogimiento de hombros (Banda) | back | banda | isolation
shrug-barra | Encogimiento de hombros (Barra) | back | barra | isolation
shrug-mancuerna | Encogimiento de hombros (Mancuerna) | back | mancuerna | isolation
shrug-pesarusa | Encogimiento de hombros (Pesa rusa) | back | pesa_rusa | isolation
shrug-single-pesarusa | Encogimiento de hombros a un brazo | back | pesa_rusa | isolation
standing-shrug-maquina | Encogimiento de hombros de pie | back | maquina | isolation
seated-shrug-mancuerna | Encogimiento de hombros sentado (Mancuerna) | back | mancuerna | isolation
seated-shrug-maquina | Encogimiento de hombros sentado (Máquina) | back | maquina | isolation
rower-knee-tuck-maquina | Encogimiento de rodillas en rower | back | maquina | compound
horizontal-shrug-banda | Encogimiento horizontal | back | banda | isolation
incline-shrug-pesarusa | Encogimiento inclinado | back | pesa_rusa | isolation
overhead-shrug-disco | Encogimiento sobre la cabeza | back | disco | isolation
single-arm-pulldown-banda | Jalón al pecho a un brazo | back | banda | compound
kneeling-pulldown-banda | Jalón al pecho arrodillado | back | banda | compound
narrow-pulldown-maquina | Jalón al pecho en agarre cerrado | back | maquina | compound
neutral-pulldown-maquina | Jalón al pecho en agarre neutro | back | maquina | compound
loaded-pulldown-maquina | Jalón al pecho en máquina | back | maquina | compound
underhand-pulldown-maquina | Jalón al pecho en supinación | back | maquina | compound
seated-pulldown-banda | Jalón al pecho sentado | back | banda | compound
rower-pike-maquina | Pike en rower | back | maquina | compound
pullover-banda | Pullover (Banda) | back | banda | compound
pullover-barra | Pullover (Barra) | back | barra | compound
pullover-polea | Pullover (Cable) | back | cable | compound
pullover-mancuerna | Pullover (Mancuerna) | back | mancuerna | compound
pullover-maquina | Pullover (Máquina) | back | maquina | compound
pullover-pesarusa | Pullover (Pesa rusa) | back | pesa_rusa | compound
single-arm-pullover-mancuerna | Pullover a un brazo (Mancuerna) | back | mancuerna | compound
single-arm-pullover-pesarusa | Pullover a un brazo (Pesa rusa) | back | pesa_rusa | compound
rope-pullover-polea | Pullover con cuerda | back | cable | compound
row-banda | Remo (Banda) | back | banda | compound
row-pesarusa | Remo (Pesa rusa) | back | pesa_rusa | compound
single-arm-row-banda | Remo a un brazo (Banda) | back | banda | compound
single-arm-row-mancuerna | Remo a un brazo (Mancuerna) | back | mancuerna | compound
single-arm-row-pesarusa | Remo a un brazo (Pesa rusa) | back | pesa_rusa | compound
single-arm-row-trx | Remo a un brazo (TRX) | back | trx | compound
row-single-pesarusa | Remo a una mano | back | pesa_rusa | compound
alternating-row-pesarusa | Remo alternado | back | pesa_rusa | compound
alternating-deadstop-row-disco | Remo alternado con parada | back | disco | compound
archer-row-polea | Remo arquero | back | cable | compound
loaded-low-row-maquina | Remo bajo en máquina | back | maquina | compound
row-bilateral-mancuerna | Remo bilateral | back | mancuerna | compound
pinch-grip-row-disco | Remo con agarre de pinza | back | disco | compound
rotating-row-polea | Remo con rotación (Cable) | back | cable | compound
rotating-row-trx | Remo con rotación (TRX) | back | trx | compound
overhand-row-maquina | Remo en agarre prono (Máquina) | back | maquina | compound
overhand-row-multipower | Remo en agarre prono (Multipower) | back | multipower | compound
